recid,location,event,eventType,xcoord,ycoord,dt,_date,_time
504,700 BLOCK OF EUWANEE PLACE                                                                                                                                                                              ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12141550.60999830   ,3508980.96571782    ,2010-09-30 10:00:01.000,9/30/2010 ,1900-01-01 10:00:00.000
505,100 BLOCK OF E WESTMONT AVENUE                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12137377.80540020   ,3508262.55838484    ,2010-09-30 10:00:41.000,9/30/2010 ,1900-01-01 10:00:00.000
506,E BAYVIEW BOULEVARD & STURGIS STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144164.99985330   ,3507633.74998333    ,2010-09-30 10:01:19.000,9/30/2010 ,1900-01-01 10:01:00.000
507,CHESAPEAKE BOULEVARD & MIDDLETON PLACE                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144023.00005840   ,3494418.24989577    ,2010-09-30 10:01:57.000,9/30/2010 ,1900-01-01 10:01:00.000
508,6500 BLOCK OF CHESAPEAKE BOULEVARD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12143978.56479250   ,3494705.83119252    ,2010-09-30 10:02:38.000,9/30/2010 ,1900-01-01 10:02:00.000
509,6200 BLOCK OF EDWARD STREET                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146437.20102610   ,3493026.31341035    ,2010-09-30 10:02:55.000,9/30/2010 ,1900-01-01 10:02:00.000
510,2400 BLOCK OF SEWELLS POINT ROAD                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12146166.50033090   ,3485154.24999730    ,2010-09-30 10:03:14.000,9/30/2010 ,1900-01-01 10:03:00.000
511,ALDER STREET & DENVER AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12145213.99999960   ,3484334.49990147    ,2010-09-30 10:03:58.000,9/30/2010 ,1900-01-01 10:03:00.000
512,TABB STREET & TIDEWATER DRIVE                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133846.00010570   ,3477648.74993046    ,2010-09-30 10:05:44.000,9/30/2010 ,1900-01-01 10:05:00.000
514,1600 BLOCK OF MORRIS AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136049.50002200   ,3487821.62504138    ,2010-09-30 10:09:12.000,9/30/2010 ,1900-01-01 10:09:00.000
515,E OCEAN VIEW AVENUE & STURGIS STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12145468.99987050   ,3510573.25010173    ,2010-09-30 10:36:11.000,9/30/2010 ,1900-01-01 10:36:00.000
516,401 MONTICELLO AVENUE                                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12129761.00010      ,3476951.75005       ,2010-09-30 10:38:46.000,9/30/2010 ,1900-01-01 10:38:00.000
517,E 9TH STREET & MONTICELLO AVENUE                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130260.00013680   ,3479804.74997541    ,2010-09-30 11:36:31.000,9/30/2010 ,1900-01-01 11:36:00.000
518,MARTONE ROAD & OLEO ROAD                                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12153592.00000970   ,3498817.24992869    ,2010-09-30 11:43:20.000,9/30/2010 ,1900-01-01 11:43:00.000
520,900 BLOCK OF BOTETOURT GARDENS                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128495.28737130   ,3480676.82646349    ,2010-09-30 11:52:23.000,9/30/2010 ,1900-01-01 11:52:00.000
521,810 UNION STREET                                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130804.10910      ,3474570.83769       ,2010-09-30 11:59:04.000,9/30/2010 ,1900-01-01 11:59:00.000
523,1600 BLOCK OF MADISON AVENUE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136797.15227740   ,3477236.44972710    ,2010-09-30 12:25:30.000,9/30/2010 ,1900-01-01 12:25:00.000
524,900 BLOCK OF MADISON AVENUE                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136606.15133410   ,3477056.58083647    ,2010-09-30 12:30:31.000,9/30/2010 ,1900-01-01 12:30:00.000
525,E BRAMBLETON AVENUE & TIDEWATER DRIVE                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133519.87141630   ,3476715.99997509    ,2010-09-30 12:31:08.000,9/30/2010 ,1900-01-01 12:31:00.000
526,CHURCH STREET & E BRAMBLETON AVENUE                                                                                                                                                                     ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132320.49986560   ,3477748.37493278    ,2010-09-30 12:31:42.000,9/30/2010 ,1900-01-01 12:31:00.000
527,CHAPEL STREET & E BRAMBLETON AVENUE                                                                                                                                                                     ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132797.99987380   ,3477412.00014834    ,2010-09-30 12:32:34.000,9/30/2010 ,1900-01-01 12:32:00.000
528,E BRAMBLETON AVENUE & ROSWELL AVENUE                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133141.99998830   ,3477128.24998665    ,2010-09-30 12:32:49.000,9/30/2010 ,1900-01-01 12:32:00.000
529,E BRAMBLETON AVENUE & LANDING STREET                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12132976.99996080   ,3477219.99991617    ,2010-09-30 12:33:08.000,9/30/2010 ,1900-01-01 12:33:00.000
532,EVELYN T BUTTS AVENUE & AVENUE J                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12142561.00004330   ,3499982.74985138    ,2010-09-30 12:53:11.000,9/30/2010 ,1900-01-01 12:53:00.000
533,BERKLEY AVENUE EX & CAMPOSTELLA ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12138296.49997560   ,3466698.62507765    ,2010-09-30 12:58:15.000,9/30/2010 ,1900-01-01 12:58:00.000
536,800 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133837.91841860   ,3477624.01281925    ,2010-09-30 13:09:37.000,9/30/2010 ,1900-01-01 13:09:00.000
537,700 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133666.64218720   ,3477092.14985116    ,2010-09-30 13:10:03.000,9/30/2010 ,1900-01-01 13:10:00.000
538,GRANBY STREET & E WESTMONT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136759.00013390   ,3508511.74998675    ,2010-09-30 13:10:20.000,9/30/2010 ,1900-01-01 13:10:00.000
539,400 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133196.71983490   ,3475469.48637276    ,2010-09-30 13:11:53.000,9/30/2010 ,1900-01-01 13:11:00.000
540,500 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133279.99995740   ,3476043.87489882    ,2010-09-30 13:12:16.000,9/30/2010 ,1900-01-01 13:12:00.000
541,600 BLOCK OF TIDEWATER DRIVE                                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133408.54664210   ,3476228.11560557    ,2010-09-30 13:13:08.000,9/30/2010 ,1900-01-01 13:13:00.000
542,JOHNSTONS ROAD & NORTH GATE DRIVE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144305.49993390   ,3497907.75010587    ,2010-09-30 13:24:36.000,9/30/2010 ,1900-01-01 13:24:00.000
543,1800 BLOCK OF E LITTLE CREEK ROAD                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12148003.36879440   ,3500928.53832296    ,2010-09-30 13:56:29.000,9/30/2010 ,1900-01-01 13:56:00.000
544,DEBREE AVENUE & W 29TH STREET                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130055.00007410   ,3485445.75014394    ,2010-09-30 14:13:56.000,9/30/2010 ,1900-01-01 14:13:00.000
545,3900 BLOCK OF PLEASANT AVENUE                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12156631.05883290   ,3505917.38250770    ,2010-09-30 15:33:17.000,9/30/2010 ,1900-01-01 15:33:00.000
546,2700 BLOCK OF PLEASANT AVENUE                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12152502.00006660   ,3506967.87494494    ,2010-09-30 15:34:56.000,9/30/2010 ,1900-01-01 15:34:00.000
547,9500 BLOCK OF 15TH BAY STREET                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12154950.58044630   ,3505802.35645281    ,2010-09-30 15:37:17.000,9/30/2010 ,1900-01-01 15:37:00.000
548,19TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12156459.70838280   ,3505945.72229423    ,2010-09-30 15:43:44.000,9/30/2010 ,1900-01-01 15:43:00.000
549,20TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12156801.99993020   ,3505886.75014955    ,2010-09-30 15:44:43.000,9/30/2010 ,1900-01-01 15:44:00.000
550,7TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12152337.00004350   ,3507016.49990900    ,2010-09-30 15:45:27.000,9/30/2010 ,1900-01-01 15:45:00.000
551,8TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                        ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12152667.00009850   ,3506919.24997857    ,2010-09-30 15:45:46.000,9/30/2010 ,1900-01-01 15:45:00.000
552,E LITTLE CREEK ROAD & FORT WORTH AVENUE                                                                                                                                                                 ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136125.99991400   ,3501252.74994876    ,2010-09-30 15:57:15.000,9/30/2010 ,1900-01-01 15:57:00.000
555,COLONIAL AVENUE & W PRINCESS ANNE ROAD                                                                                                                                                                  ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12128168.99987400   ,3481426.99987417    ,2010-09-30 16:34:46.000,9/30/2010 ,1900-01-01 16:34:00.000
556,BLOW STREET & W PRINCESS ANNE ROAD                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12127791.00015410   ,3481627.74990766    ,2010-09-30 16:35:38.000,9/30/2010 ,1900-01-01 16:35:00.000
557,E VIRGINIA BEACH BOULEVARD & MAY AVENUE                                                                                                                                                                 ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134812.49992370   ,3477979.87492849    ,2010-09-30 16:38:04.000,9/30/2010 ,1900-01-01 16:38:00.000
558,CECELIA STREET & E OLNEY ROAD                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134482.00006880   ,3476758.00015366    ,2010-09-30 16:39:30.000,9/30/2010 ,1900-01-01 16:39:00.000
559,E OLNEY ROAD & MALTBY CRESCENT                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135043.00000500   ,3476399.24996518    ,2010-09-30 16:44:52.000,9/30/2010 ,1900-01-01 16:44:00.000
560,GRANBY STREET & W PRINCESS ANNE ROAD                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12130003.00012260   ,3480502.00012027    ,2010-09-30 17:03:35.000,9/30/2010 ,1900-01-01 17:03:00.000
561,E VIRGINIA BEACH BOULEVARD & PARK AVENUE                                                                                                                                                                ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12136628.50014070   ,3477394.62494528    ,2010-09-30 17:04:15.000,9/30/2010 ,1900-01-01 17:04:00.000
562,E BRAMBLETON AVENUE & PARK AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135220.00010600   ,3475405.24998529    ,2010-09-30 17:05:46.000,9/30/2010 ,1900-01-01 17:05:00.000
563,LAFAYETTE BOULEVARD & VERDUN AVENUE                                                                                                                                                                     ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12139280.99998250   ,3486128.50011481    ,2010-09-30 17:35:07.000,9/30/2010 ,1900-01-01 17:35:00.000
564,LAFAYETTE BOULEVARD & LENS AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12139028.99985470   ,3486199.50001228    ,2010-09-30 17:35:25.000,9/30/2010 ,1900-01-01 17:35:00.000
565,BIRCH STREET & ROBIN HOOD ROAD                                                                                                                                                                          ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12144125.00013250   ,3486227.99993125    ,2010-09-30 17:48:23.000,9/30/2010 ,1900-01-01 17:48:00.000
566,5900 BLOCK OF POPLAR HALL DRIVE                                                                                                                                                                         ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12155629.36096610   ,3477196.38177898    ,2010-09-30 17:50:58.000,9/30/2010 ,1900-01-01 17:50:00.000
567,E VIRGINIA BEACH BOULEVARD & TIDEWATER DRIVE                                                                                                                                                            ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134007.99991830   ,3478239.25001462    ,2010-10-01 03:55:34.000,10/1/2010 ,1900-01-01 03:55:00.000
568,E BRAMBLETON AVENUE & TIDEWATER DRIVE                                                                                                                                                                   ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12133519.87141630   ,3476715.99997509    ,2010-10-01 03:56:31.000,10/1/2010 ,1900-01-01 03:56:00.000
569,600 BLOCK OF RESERVOIR AVENUE                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12134524.25696990   ,3475557.25246865    ,2010-10-01 03:57:20.000,10/1/2010 ,1900-01-01 03:57:00.000
570,9500 BLOCK OF 10TH BAY STREET                                                                                                                                                                           ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12153209.23617960   ,3506322.13050025    ,2010-10-01 04:08:58.000,10/1/2010 ,1900-01-01 04:08:00.000
571,21ST BAY STREET & PRETTY LAKE AVENUE                                                                                                                                                                    ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12157014.99993710   ,3504950.24996479    ,2010-10-01 04:09:35.000,10/1/2010 ,1900-01-01 04:09:00.000
572,16TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12155386.00006580   ,3506142.74993488    ,2010-10-01 04:10:08.000,10/1/2010 ,1900-01-01 04:10:00.000
573,19TH BAY STREET & PLEASANT AVENUE                                                                                                                                                                       ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12156459.70838280   ,3505945.72229423    ,2010-10-01 04:10:44.000,10/1/2010 ,1900-01-01 04:10:00.000
574,8500 BLOCK OF GRANBY STREET                                                                                                                                                                             ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135913.38657870   ,3506489.19061788    ,2010-10-01 07:33:53.000,10/1/2010 ,1900-01-01 07:33:00.000
575,1224 HANSON AVENUE                                                                                                                                                                                      ,Nicole (9/30/2010)                                                                                  ,Flooded street                                    ,12135687.45030      ,3478800.23116       ,2010-10-01 08:07:20.000,10/1/2010 ,1900-01-01 08:07:00.000
